subject_name,age,input_type,count,input_source
WBH137,563,Speech,16,Device
WBH137,563,Music,2,Person
WBH137,563,Music,24,Device
WBH140,527,Speech,43,Person
WBH140,527,Speech,1,Device
WBH140,527,Music,0,Person
WBH140,527,Music,5,Device
WBH141,452,Speech,69,Person
WBH141,452,Speech,2,Device
WBH141,452,Music,4,Person
WBH141,452,Music,19,Device
WBH142,682,Speech,44,Person
WBH142,682,Speech,7,Device
WBH142,682,Music,6,Person
WBH142,682,Music,18,Device
WBH143,504,Speech,36,Person
WBH143,504,Speech,0,Device
WBH143,504,Music,2,Person
WBH143,504,Music,16,Device
WBH144,589,Speech,53,Person
WBH144,589,Speech,6,Device
WBH144,589,Music,3,Person
WBH144,589,Music,11,Device
WBH145,314,Speech,66,Person
WBH145,314,Speech,7,Device
WBH145,314,Music,5,Person
WBH145,314,Music,11,Device
WBH146,389,Speech,61,Person
WBH146,389,Speech,2,Device
WBH146,389,Music,6,Person
WBH146,389,Music,12,Device
WBH147,691,Speech,49,Person
WBH147,691,Speech,7,Device
WBH147,691,Music,0,Person
WBH147,691,Music,16,Device
WBH149,562,Speech,49,Person
WBH149,562,Speech,1,Device
WBH149,562,Music,0,Person
WBH149,562,Music,2,Device
WBH150,699,Speech,34,Person
WBH150,699,Speech,13,Device
WBH150,699,Music,5,Person
WBH150,699,Music,26,Device
WBH151,679,Speech,79,Person
WBH151,679,Speech,5,Device
WBH151,679,Music,6,Person
WBH151,679,Music,9,Device
WBH152,321,Speech,51,Person
WBH152,321,Speech,1,Device
WBH152,321,Music,2,Person
WBH152,321,Music,8,Device
