subject_name,input_type,input_source,count,age
C119,Speech,Person,50,14
C120,Speech,Person,53,14
C122,Speech,Person,58,14
C124,Speech,Person,37,14
C125,Speech,Person,40,14
C126,Speech,Person,47,14
C127,Speech,Person,37,14
C128,Speech,Person,40,14
C129,Speech,Person,54,14
C130,Speech,Person,39,14
C131,Speech,Person,48,14
C102,Speech,Device,1,14
C104,Speech,Device,2,14
C106,Speech,Device,4,14
C107,Speech,Device,7,14
C108,Speech,Device,10,14
C111,Speech,Device,3,14
C112,Speech,Device,7,14
C113,Speech,Device,0,14
C114,Speech,Device,2,14
C115,Speech,Device,3,14
C116,Speech,Device,2,14
C117,Speech,Device,2,14
C118,Speech,Device,26,14
C119,Speech,Device,5,14
C120,Speech,Device,3,14
C122,Speech,Device,6,14
C124,Speech,Device,22,14
C125,Speech,Device,4,14
C126,Speech,Device,13,14
C127,Speech,Device,9,14
C128,Speech,Device,11,14
C129,Speech,Device,5,14
C130,Speech,Device,15,14
C131,Speech,Device,8,14
C102,Music,Person,4,14
C104,Music,Person,2,14
C106,Music,Person,2,14
C107,Music,Person,4,14
C108,Music,Person,6,14
C111,Music,Person,1,14
C112,Music,Person,2,14
C113,Music,Person,3,14
C114,Music,Person,2,14
C115,Music,Person,1,14
C116,Music,Person,2,14
C117,Music,Person,4,14
C118,Music,Person,1,14
C119,Music,Person,3,14
C120,Music,Person,1,14
C122,Music,Person,2,14
C124,Music,Person,5,14
C125,Music,Person,1,14
C126,Music,Person,2,14
C127,Music,Person,0,14
C128,Music,Person,4,14
C129,Music,Person,1,14
C130,Music,Person,6,14
C131,Music,Person,4,14
C102,Music,Device,5,14
C104,Music,Device,2,14
C106,Music,Device,21,14
C107,Music,Device,11,14
C108,Music,Device,13,14
C111,Music,Device,9,14
C112,Music,Device,13,14
C113,Music,Device,7,14
C114,Music,Device,3,14
C115,Music,Device,1,14
C116,Music,Device,3,14
C117,Music,Device,12,14
C118,Music,Device,5,14
C119,Music,Device,13,14
C120,Music,Device,4,14
C122,Music,Device,10,14
C124,Music,Device,12,14
C125,Music,Device,5,14
C126,Music,Device,9,14
C127,Music,Device,8,14
C128,Music,Device,11,14
C129,Music,Device,12,14
C130,Music,Device,7,14
C131,Music,Device,6,14
C102,Speech,Person,48,18
C104,Speech,Person,53,18
C106,Speech,Person,51,18
C107,Speech,Person,57,18
C108,Speech,Person,52,18
C111,Speech,Person,29,18
C112,Speech,Person,49,18
C113,Speech,Person,56,18
C114,Speech,Person,40,18
C115,Speech,Person,42,18
C116,Speech,Person,59,18
C117,Speech,Person,44,18
C118,Speech,Person,58,18
C119,Speech,Person,39,18
C120,Speech,Person,44,18
C122,Speech,Person,55,18
C124,Speech,Person,72,18
C125,Speech,Person,47,18
C126,Speech,Person,27,18
C127,Speech,Person,38,18
C128,Speech,Person,54,18
C129,Speech,Person,49,18
C130,Speech,Person,47,18
C131,Speech,Person,59,18
C102,Speech,Device,7,18
C104,Speech,Device,5,18
C106,Speech,Device,3,18
C107,Speech,Device,8,18
C108,Speech,Device,10,18
C111,Speech,Device,11,18
C112,Speech,Device,6,18
C113,Speech,Device,5,18
C114,Speech,Device,1,18
C115,Speech,Device,3,18
C116,Speech,Device,1,18
C117,Speech,Device,2,18
C118,Speech,Device,11,18
C119,Speech,Device,6,18
C120,Speech,Device,15,18
C122,Speech,Device,5,18
C124,Speech,Device,10,18
C125,Speech,Device,7,18
C126,Speech,Device,12,18
C127,Speech,Device,12,18
C128,Speech,Device,7,18
C129,Speech,Device,10,18
C130,Speech,Device,2,18
C131,Speech,Device,3,18
C102,Music,Person,2,18
C104,Music,Person,2,18
C106,Music,Person,3,18
C107,Music,Person,4,18
C108,Music,Person,4,18
C111,Music,Person,2,18
C112,Music,Person,3,18
C113,Music,Person,1,18
C114,Music,Person,2,18
C115,Music,Person,6,18
C116,Music,Person,3,18
C117,Music,Person,5,18
C118,Music,Person,2,18
C119,Music,Person,0,18
C120,Music,Person,0,18
C122,Music,Person,3,18
C124,Music,Person,2,18
C125,Music,Person,0,18
C126,Music,Person,1,18
C127,Music,Person,9,18
C128,Music,Person,7,18
C129,Music,Person,1,18
C130,Music,Person,2,18
C131,Music,Person,1,18
C102,Music,Device,3,18
C104,Music,Device,11,18
C106,Music,Device,3,18
C107,Music,Device,11,18
C108,Music,Device,18,18
C111,Music,Device,4,18
C112,Music,Device,15,18
C113,Music,Device,9,18
C114,Music,Device,2,18
C115,Music,Device,5,18
C116,Music,Device,5,18
C117,Music,Device,6,18
C118,Music,Device,13,18
C119,Music,Device,11,18
C120,Music,Device,4,18
C122,Music,Device,9,18
C124,Music,Device,12,18
C125,Music,Device,7,18
C126,Music,Device,1,18
C127,Music,Device,14,18
C128,Music,Device,12,18
C129,Music,Device,9,18
C130,Music,Device,2,18
C131,Music,Device,0,18
C102,Speech,Person,45,24
C104,Speech,Person,45,24
C106,Speech,Person,53,24
C107,Speech,Person,65,24
C108,Speech,Person,57,24
C111,Speech,Person,30,24
C112,Speech,Person,49,24
C113,Speech,Person,60,24
C114,Speech,Person,61,24
C115,Speech,Person,52,24
C116,Speech,Person,74,24
C117,Speech,Person,55,24
C118,Speech,Person,42,24
C119,Speech,Person,58,24
C120,Speech,Person,70,24
C122,Speech,Person,64,24
C124,Speech,Person,55,24
C125,Speech,Person,52,24
C126,Speech,Person,40,24
C127,Speech,Person,46,24
C128,Speech,Person,72,24
C129,Speech,Person,59,24
C130,Speech,Person,40,24
C131,Speech,Person,52,24
C102,Speech,Device,0,24
C104,Speech,Device,2,24
C106,Speech,Device,1,24
C107,Speech,Device,5,24
C108,Speech,Device,10,24
C111,Speech,Device,4,24
C112,Speech,Device,7,24
C113,Speech,Device,4,24
C114,Speech,Device,1,24
C115,Speech,Device,3,24
C116,Speech,Device,1,24
C117,Speech,Device,7,24
C118,Speech,Device,28,24
C119,Speech,Device,3,24
C120,Speech,Device,5,24
C122,Speech,Device,12,24
C124,Speech,Device,10,24
C125,Speech,Device,2,24
C126,Speech,Device,5,24
C127,Speech,Device,12,24
C128,Speech,Device,3,24
C129,Speech,Device,6,24
C130,Speech,Device,5,24
C131,Speech,Device,7,24
C102,Music,Person,1,24
C104,Music,Person,6,24
C106,Music,Person,0,24
C107,Music,Person,0,24
C108,Music,Person,6,24
C111,Music,Person,4,24
C112,Music,Person,3,24
C113,Music,Person,3,24
C114,Music,Person,2,24
C115,Music,Person,2,24
C116,Music,Person,1,24
C117,Music,Person,4,24
C118,Music,Person,0,24
C119,Music,Person,2,24
C120,Music,Person,1,24
C122,Music,Person,1,24
C124,Music,Person,1,24
C125,Music,Person,1,24
C126,Music,Person,3,24
C127,Music,Person,2,24
C128,Music,Person,5,24
C129,Music,Person,1,24
C130,Music,Person,0,24
C131,Music,Person,1,24
C102,Music,Device,3,24
C104,Music,Device,3,24
C106,Music,Device,2,24
C107,Music,Device,14,24
C108,Music,Device,9,24
C111,Music,Device,8,24
C112,Music,Device,17,24
C113,Music,Device,7,24
C114,Music,Device,3,24
C115,Music,Device,8,24
C116,Music,Device,6,24
C117,Music,Device,12,24
C118,Music,Device,10,24
C119,Music,Device,11,24
C120,Music,Device,5,24
C122,Music,Device,11,24
C124,Music,Device,11,24
C125,Music,Device,4,24
C126,Music,Device,9,24
C127,Music,Device,6,24
C128,Music,Device,6,24
C129,Music,Device,13,24
C130,Music,Device,8,24
C131,Music,Device,4,24
