subject_name,age,music,speech
C102,6,19.0,45.0
C102,10,6.0,41.0
C102,14,9.0,46.0
C102,18,5.0,57.0
C102,24,4.0,45.0
C104,6,17.0,52.0
C104,10,12.0,65.0
C104,14,4.0,51.0
C104,18,12.0,57.0
C104,24,9.0,47.0
C106,6,13.0,45.0
C106,10,9.0,57.0
C106,14,22.0,59.0
C106,18,6.0,53.0
C106,24,3.0,53.0
C107,6,24.0,55.0
C107,10,11.0,39.0
C107,14,13.0,45.0
C107,18,14.0,62.0
C107,24,14.0,69.0
C108,6,24.0,66.0
C108,10,21.0,65.0
C108,14,17.0,43.0
C108,18,22.0,61.0
C108,24,15.0,64.0
C111,6,3.0,19.0
C111,10,4.0,27.0
C111,14,9.0,25.0
C111,18,6.0,36.0
C111,24,10.0,34.0
C112,6,14.0,41.0
C112,10,13.0,62.0
C112,14,16.0,70.0
C112,18,17.0,55.0
C112,24,19.0,53.0
C113,6,19.0,64.0
C113,10,6.0,74.0
C113,14,10.0,70.0
C113,18,9.0,60.0
C113,24,9.0,64.0
C114,6,5.0,37.0
C114,10,2.0,53.0
C114,14,4.0,44.0
C114,18,2.0,41.0
C114,24,5.0,62.0
C115,6,9.0,39.0
C115,10,6.0,47.0
C115,14,2.0,53.0
C115,18,10.0,43.0
C115,24,11.0,55.0
C116,6,4.0,49.0
C116,10,11.0,55.0
C116,14,5.0,67.0
C116,18,7.0,60.0
C116,24,6.0,74.0
C117,6,14.0,48.0
C117,10,9.0,59.0
C117,14,14.0,40.0
C117,18,10.0,46.0
C117,24,13.0,62.0
C118,6,13.0,65.0
C118,10,14.0,65.0
C118,14,6.0,64.0
C118,18,14.0,69.0
C118,24,10.0,67.0
C119,6,7.0,30.0
C119,10,5.0,55.0
C119,14,15.0,55.0
C119,18,11.0,45.0
C119,24,12.0,61.0
C120,6,9.0,57.0
C120,10,11.0,39.0
C120,14,4.0,55.0
C120,18,4.0,56.0
C120,24,6.0,74.0
C122,6,9.0,46.0
C122,10,11.0,58.0
C122,14,11.0,62.0
C122,18,11.0,62.0
C122,24,11.0,73.0
C124,6,11.0,53.0
C124,10,12.0,56.0
C124,14,18.0,56.0
C124,18,13.0,79.0
C124,24,12.0,64.0
C125,6,10.0,32.0
C125,10,2.0,29.0
C125,14,7.0,44.0
C125,18,8.0,50.0
C125,24,5.0,52.0
C126,6,30.0,46.0
C126,10,11.0,44.0
C126,14,11.0,54.0
C126,18,2.0,39.0
C126,24,12.0,44.0
C127,6,21.0,61.0
C127,10,14.0,48.0
C127,14,8.0,43.0
C127,18,23.0,46.0
C127,24,8.0,55.0
C128,6,11.0,62.0
C128,10,6.0,56.0
C128,14,14.0,50.0
C128,18,17.0,56.0
C128,24,12.0,74.0
C129,6,11.0,66.0
C129,10,4.0,52.0
C129,14,13.0,57.0
C129,18,10.0,57.0
C129,24,14.0,62.0
C130,6,12.0,38.0
C130,10,17.0,30.0
C130,14,12.0,52.0
C130,18,4.0,49.0
C130,24,8.0,45.0
C131,6,11.0,47.0
C131,10,4.0,45.0
C131,14,10.0,53.0
C131,18,1.0,61.0
C131,24,6.0,56.0
