subject_name,age,music_baby,music_other,speech_baby,speech_other
EILD101,275,5.0,18.0,24.0,32.0
EILD104,523,46.0,1.0,21.0,13.0
EILD105,485,9.0,10.0,26.0,22.0
EILD106,334,4.0,8.0,30.0,24.0
EILD108,228,2.0,1.0,15.0,13.0
EILD109,226,9.0,7.0,19.0,33.0
EILD110,172,53.0,6.0,18.0,39.0
EILD111,191,5.0,8.0,18.0,51.0
EILD112,388,4.0,7.0,26.0,40.0
EILD113,667,3.0,10.0,23.0,25.0
EILD114,398,21.0,3.0,16.0,25.0
EILD115,120,2.0,17.0,8.0,52.0
EILD116,424,5.0,4.0,11.0,20.0
EILD117,561,7.0,11.0,34.0,26.0
EILD201,159,3.0,12.0,18.0,30.0
EILD202,537,7.0,8.0,26.0,24.0
EILD302,573,23.0,5.0,29.0,26.0
EILD303,427,18.0,28.0,23.0,18.0
EILD304,358,3.0,0.0,14.0,26.0
EILD305,433,2.0,0.0,19.0,16.0
EILD307,467,15.0,8.0,25.0,14.0
EILD309,518,2.0,2.0,28.0,18.0
EILD310,523,11.0,12.0,17.0,29.0
EILD311,456,9.0,7.0,35.0,24.0
EILD312,313,2.0,0.0,7.0,15.0
EILD313,307,8.0,6.0,21.0,15.0
EILD314,500,10.0,3.0,37.0,17.0
EILD316,500,4.0,1.0,18.0,22.0
EILD317,367,2.0,0.0,17.0,11.0
EILD320,320,10.0,3.0,27.0,20.0
EILD321,445,7.0,2.0,20.0,21.0
EILD322,518,6.0,3.0,32.0,34.0
EILD323,414,10.0,5.0,16.0,56.0
EILD326,472,4.0,12.0,17.0,21.0
EILD328,488,5.0,3.0,44.0,32.0
EILD329,521,1.0,1.0,44.0,22.0
EILD330,363,5.0,9.0,24.0,23.0
EILD331,387,15.0,7.0,18.0,27.0
EILD333,488,3.0,0.0,34.0,21.0
EILD334,587,1.0,15.0,17.0,22.0
EILD335,415,8.0,8.0,11.0,44.0
EILD336,202,1.0,7.0,20.0,34.0
WBH106,212,7.0,10.0,34.0,37.0
WBH110,390,0.0,2.0,20.0,31.0
WBH118,143,5.0,5.0,26.0,23.0
WBH125,443,2.0,1.0,22.0,19.0
WBH130,356,3.0,5.0,24.0,29.0
WBH132,257,4.0,2.0,36.0,23.0
WBH133,709,19.0,16.0,12.0,21.0
WBH135,485,1.0,2.0,34.0,31.0
WBH136,691,20.0,3.0,40.0,20.0
WBH137,563,21.0,5.0,37.0,8.0
WBH140,527,1.0,4.0,26.0,16.0
WBH141,452,6.0,16.0,35.0,30.0
WBH142,682,18.0,6.0,15.0,34.0
WBH143,504,8.0,9.0,27.0,9.0
WBH144,589,13.0,1.0,40.0,15.0
WBH145,314,9.0,5.0,23.0,48.0
WBH146,389,13.0,4.0,43.0,18.0
WBH147,691,4.0,10.0,23.0,29.0
WBH149,562,1.0,2.0,28.0,19.0
WBH150,699,22.0,6.0,29.0,9.0
WBH151,679,6.0,9.0,35.0,43.0
WBH152,321,4.0,4.0,21.0,28.0
