subject_name,age,music_device,music_person,speech_device,speech_person
EILD101,275,24.0,0.0,5.0,53.0
EILD104,523,45.0,0.0,3.0,33.0
EILD105,485,13.0,6.0,4.0,45.0
EILD106,334,11.0,3.0,2.0,55.0
EILD108,228,3.0,0.0,3.0,27.0
EILD109,226,16.0,1.0,18.0,39.0
EILD110,172,60.0,3.0,5.0,54.0
EILD111,191,14.0,1.0,21.0,50.0
EILD112,388,7.0,4.0,11.0,60.0
EILD113,667,13.0,1.0,8.0,51.0
EILD114,398,26.0,2.0,6.0,33.0
EILD115,120,19.0,1.0,6.0,62.0
EILD116,424,8.0,2.0,3.0,30.0
EILD117,561,18.0,1.0,10.0,57.0
EILD201,159,13.0,5.0,11.0,43.0
EILD202,537,15.0,0.0,8.0,42.0
EILD302,573,30.0,0.0,9.0,52.0
EILD303,427,46.0,5.0,6.0,38.0
EILD304,358,2.0,2.0,3.0,40.0
EILD305,433,0.0,2.0,0.0,34.0
EILD307,467,24.0,2.0,15.0,25.0
EILD309,518,4.0,0.0,3.0,45.0
EILD310,523,25.0,0.0,11.0,40.0
EILD311,456,15.0,3.0,1.0,61.0
EILD312,313,1.0,1.0,5.0,20.0
EILD313,307,10.0,3.0,5.0,31.0
EILD314,500,12.0,2.0,6.0,52.0
EILD316,500,5.0,1.0,11.0,33.0
EILD317,367,3.0,0.0,1.0,28.0
EILD320,320,11.0,5.0,0.0,49.0
EILD321,445,6.0,4.0,5.0,41.0
EILD322,518,3.0,6.0,4.0,67.0
EILD323,414,10.0,5.0,5.0,69.0
EILD326,472,13.0,4.0,1.0,39.0
EILD328,488,10.0,1.0,13.0,72.0
EILD329,521,1.0,1.0,0.0,69.0
EILD330,363,15.0,0.0,7.0,43.0
EILD331,387,16.0,6.0,0.0,47.0
EILD333,488,2.0,1.0,5.0,55.0
EILD334,587,19.0,0.0,4.0,38.0
EILD335,415,16.0,1.0,12.0,46.0
EILD336,202,8.0,0.0,3.0,48.0
WBH106,212,13.0,3.0,6.0,63.0
WBH110,390,2.0,0.0,4.0,49.0
WBH118,143,6.0,2.0,1.0,51.0
WBH125,443,2.0,1.0,0.0,43.0
WBH130,356,6.0,3.0,9.0,47.0
WBH132,257,5.0,2.0,6.0,58.0
WBH133,709,34.0,2.0,11.0,27.0
WBH135,485,2.0,3.0,2.0,64.0
WBH136,691,24.0,1.0,4.0,62.0
WBH137,563,24.0,2.0,16.0,31.0
WBH140,527,5.0,0.0,1.0,43.0
WBH141,452,19.0,4.0,2.0,69.0
WBH142,682,18.0,6.0,7.0,44.0
WBH143,504,16.0,2.0,0.0,36.0
WBH144,589,11.0,3.0,6.0,53.0
WBH145,314,11.0,5.0,7.0,66.0
WBH146,389,12.0,6.0,2.0,61.0
WBH147,691,16.0,0.0,7.0,49.0
WBH149,562,2.0,0.0,1.0,49.0
WBH150,699,26.0,5.0,13.0,34.0
WBH151,679,9.0,6.0,5.0,79.0
WBH152,321,8.0,2.0,1.0,51.0
