Vars,Mean
TT1 music_device,8.452833333334002
TT2 music_device,13.931833333303999
TT1 music_person,2.5768333333439997
TT2 music_person,2.219708333334
TT1 speech_device,6.584541666663
TT2 speech_device,5.829833333338
TT1 speech_person,47.84716666668
TT2 speech_person,47.566208333270005
TT1 music_baby,3.11099999999
TT2 music_baby,8.639666666679
TT1 music_other,6.872083333335
TT2 music_other,6.351166666679999
TT1 speech_baby,22.6349166667
TT2 speech_baby,24.69054166676
TT1 speech_other,26.85554166673
TT2 speech_other,25.601833333410003
TT1 music,10.582333333209
TT2 music,15.84924999994
TT1 speech,52.885083333329995
TT2 speech,52.755458333360004
