music,speech
9.708333333,53.29166667
10.20833333,53.79166667
9.708333333,53.91666667
11,53.875
10.41666667,54.95833333
10.54166667,53.33333333
9.291666667,54.04166667
11.125,53.58333333
10.91666667,54.875
10.875,52.54166667
10.08333333,52
9.958333333,53.04166667
10.33333333,52.70833333
9.916666667,56.16666667
10,53.83333333
9.541666667,50.45833333
10.54166667,54.45833333
11.83333333,54.79166667
9.875,50.66666667
10.5,53.20833333
10.33333333,52.79166667
10.125,54.95833333
10.66666667,53.45833333
10.75,54.04166667
11.20833333,50.45833333
10.95833333,52.70833333
11.66666667,53.04166667
11.08333333,52.75
10.95833333,53.83333333
10.75,52.20833333
11.29166667,52.5
11.95833333,55.66666667
10.29166667,51.70833333
10.125,52.54166667
10.83333333,53.70833333
10.625,48.875
9.833333333,51.95833333
9.875,52.25
11.25,51.95833333
11.70833333,55.83333333
10.45833333,51.20833333
9.083333333,53
11.66666667,54.70833333
11.58333333,53.08333333
11.16666667,54.125
11.83333333,54.08333333
10.91666667,51.91666667
10.70833333,53.58333333
7.875,52.41666667
10.58333333,55.04166667
10.5,51.33333333
10.91666667,49.58333333
10.41666667,54.91666667
10.58333333,51.375
9.375,56.66666667
10.04166667,50.16666667
10.66666667,52.33333333
11,55.125
10.5,55.375
12.66666667,53.125
10.375,52.04166667
9.291666667,52.91666667
10.375,53.66666667
11.29166667,53
11.375,52.41666667
10,56.16666667
10.54166667,49.83333333
11.41666667,51.83333333
8.916666667,53.54166667
10.20833333,52.95833333
11,55.58333333
10.75,52.375
10.45833333,49.33333333
10.16666667,52.625
9.208333333,52.95833333
10.70833333,53
10.375,53.125
10.70833333,52.04166667
9.958333333,50.45833333
10.79166667,52.375
11.25,52.79166667
10.83333333,53.83333333
10.45833333,55.08333333
10.125,52.375
10.83333333,52.45833333
10.625,53.25
9.833333333,54.66666667
10,52.125
10.625,53.79166667
10,55.04166667
8.916666667,54.875
10.41666667,51.70833333
11.58333333,49.75
10.41666667,52
10.08333333,54.16666667
10.83333333,50.16666667
11.5,52.20833333
10.29166667,50.08333333
10.125,53.66666667
9.25,54.125
11.25,52.29166667
10.04166667,51.04166667
11.29166667,54.41666667
12.625,52.08333333
10.83333333,50.75
9.791666667,53.08333333
13.20833333,54.125
12.04166667,50.79166667
10.5,57.04166667
8.541666667,55.25
10.70833333,55.29166667
10.20833333,56.33333333
13.33333333,52.54166667
10.16666667,53.54166667
10.95833333,55.25
12.04166667,56.625
9.291666667,53
8.791666667,55.08333333
10.83333333,52.66666667
10.25,54.875
9.5,49.375
10.91666667,51.625
11.95833333,52.29166667
10.95833333,54.375
11.41666667,54.20833333
10.25,53.29166667
11.70833333,50.20833333
9.375,50.91666667
8.75,52.91666667
9.708333333,52.125
11.33333333,53.33333333
11.29166667,52
11.33333333,54.625
11.125,52
9.791666667,50.41666667
10.54166667,55.16666667
10.875,55.33333333
10.08333333,51.20833333
11.70833333,50.75
11.41666667,52.75
11.70833333,50.5
9.833333333,53.79166667
10.66666667,53.08333333
10.16666667,49.70833333
10.95833333,51.79166667
11.70833333,52.08333333
11.25,51.91666667
9.083333333,54.45833333
9.458333333,50.04166667
10.08333333,49.54166667
11.04166667,54.66666667
12.08333333,52.625
9.958333333,54.20833333
10.375,53.54166667
11.58333333,53.91666667
10.625,53.54166667
11.04166667,52.54166667
12.875,53.58333333
9.916666667,54.58333333
10.83333333,50.33333333
10.875,53.5
11.04166667,54.16666667
11.875,53.375
8.5,51.41666667
11.54166667,52.5
10.33333333,52.70833333
10,51.41666667
10.58333333,53.83333333
11.16666667,52.875
10.41666667,53.91666667
12.08333333,51
9.333333333,56.375
10.95833333,53.04166667
8.333333333,54.75
9.958333333,52.70833333
11.33333333,54.16666667
8.333333333,51.16666667
11.5,54.45833333
11.33333333,52
11.33333333,49.5
11.04166667,52.25
11.20833333,56.45833333
10.29166667,53.91666667
9.666666667,51.33333333
11.125,51.75
10.16666667,51.95833333
10.45833333,51.04166667
10.5,53.75
11.41666667,52.91666667
10.625,50.58333333
10.33333333,54.5
9.916666667,52.83333333
10.20833333,55.70833333
9.458333333,50.95833333
10.33333333,53.625
11.08333333,50.125
9.708333333,50.70833333
10.41666667,49.25
10.625,55.41666667
11,54.79166667
10.83333333,55.16666667
9.416666667,49.375
9.541666667,54.125
9.333333333,51.16666667
8.958333333,53.25
10.95833333,53.5
10.29166667,55.04166667
10.20833333,52.125
9.708333333,51.41666667
11.08333333,55.70833333
11,53.20833333
10,55.54166667
11.66666667,52.45833333
12.125,56
11.91666667,53.33333333
9.916666667,54.79166667
9.166666667,52.125
10.08333333,51.5
9.958333333,52
9.333333333,50.29166667
9.5,54.29166667
11.79166667,50.45833333
12.125,51.16666667
11,53.16666667
10.58333333,55.08333333
11.58333333,50.08333333
10.75,52.875
10.79166667,51.70833333
9.875,54.58333333
10.75,53.875
10.83333333,52.5
10.875,51.95833333
10.70833333,52.45833333
9.75,54.04166667
10.79166667,51.04166667
10.5,54.25
11.08333333,52.08333333
12.41666667,55.08333333
10.95833333,49.70833333
11,53.83333333
10.45833333,53.41666667
11.95833333,53.45833333
11.33333333,50.125
10.625,54.875
10.58333333,51.33333333
11.08333333,54.20833333
11.125,51.79166667
10.66666667,51.70833333
11.33333333,50.08333333
12.08333333,55.16666667
9.541666667,50.375
11.29166667,52.75
10.45833333,53.91666667
11.125,53.75
10.25,51
10.08333333,52.25
11.20833333,54.54166667
