music_device,music_person,speech_device,speech_person,,mean,std
9.166666667,2.5,4.875,48.91666667,,8.452833333,0.784660418
7.541666667,2.625,5.583333333,46.75,,2.576833333,0.328822774
7.666666667,1.583333333,6.208333333,45.66666667,,6.584541667,0.680752442
7.333333333,2.291666667,6.125,47.75,,47.84716667,1.598495265
7.916666667,2.5,6.25,48.25,,,
8.166666667,3,6.916666667,47.75,,,
8.583333333,2.375,6.666666667,49.08333333,,,
9.166666667,2.458333333,6.083333333,48.04166667,,,
8.958333333,2.166666667,5.75,48.04166667,,,
7.75,2.375,6.583333333,45.625,,,
7.083333333,2.25,7,49,,,
9.125,2.625,7.041666667,46.08333333,,,
8.75,2.458333333,6,46.08333333,,,
8.625,2.708333333,7.666666667,49.70833333,,,
7.375,2.291666667,6.75,50.58333333,,,
11.08333333,2.583333333,6.083333333,51.75,,,
9.083333333,2.625,6.75,48.45833333,,,
9,3.125,7.291666667,47.08333333,,,
7.833333333,2.625,6.166666667,47.58333333,,,
8.5,2.666666667,6.416666667,47.375,,,
8.666666667,2.416666667,5.583333333,45.54166667,,,
9.208333333,3,5.833333333,48.54166667,,,
7.75,2.583333333,6,46.33333333,,,
7,2.041666667,6.541666667,47.95833333,,,
6.875,2.541666667,5.875,48.16666667,,,
7.833333333,2.083333333,6.875,48.875,,,
9.166666667,2.25,5.416666667,49.54166667,,,
8.458333333,2.208333333,7.166666667,47.58333333,,,
8.083333333,2.375,5.375,48.54166667,,,
8.875,2.5,5.791666667,48.66666667,,,
6.75,2.458333333,5.083333333,47.25,,,
8.75,2.416666667,6.416666667,49.125,,,
8,2.333333333,5.791666667,46.5,,,
7.458333333,2.708333333,6.416666667,50.41666667,,,
9.458333333,2.333333333,8,45.29166667,,,
7.833333333,2.625,7.5,49,,,
8.541666667,2.75,6.958333333,48.875,,,
7.875,2.625,6.291666667,48.58333333,,,
7.541666667,2.375,7.291666667,50,,,
8.625,1.875,7.083333333,47.83333333,,,
8.708333333,2.291666667,6.791666667,45.5,,,
8.625,2.208333333,6.708333333,53.375,,,
9.583333333,2.791666667,6.791666667,49.5,,,
8.708333333,2.916666667,6.5,49.79166667,,,
8.208333333,2.833333333,6.541666667,49.79166667,,,
8.333333333,3.625,6.208333333,49.25,,,
